"CustomerID2","State","CustomerLifetimeValue","Response","Coverage","Education","EffectiveToDate","EmploymentStatus","Gender","Income","LocationCode","MaritalStatus","MonthlyPremiumAuto","MonthsSinceLastClaim","MonthsSincePolicyInception","NumberofOpenComplaints","NumberofPolicies","PolicyType","Policy","RenewOfferType","SalesChannel","TotalClaimAmount","VehicleClass","VehicleSize","pred","Error"
"OC83172","Oregon",8256.2978,"Yes","Basic","Bachelor","1/25/11","Employed","F",62902,"Rural","Married",69,14,94,0,2,"Personal Auto","Personal L3","Offer2","Web",159.383042,"Two-Door Car","Medsize",4032.7601444545,51.1553453842895
"SX51350","California",4738.992022,"No","Basic","College","2/21/11","Unemployed","M",0,"Suburban","Single",67,23,5,0,3,"Personal Auto","Personal L3","Offer1","Agent",482.4,"Four-Door Car","Small",4067.98069865263,14.1593680730482
"PF41800","California",4715.321344,"No","Basic","Bachelor","1/25/11","Unemployed","M",0,"Urban","Married",65,19,56,0,3,"Personal Auto","Personal L3","Offer1","Call Center",308.15089,"Four-Door Car","Medsize",4137.8969832439,12.2457054065009
"AO98601","Washington",5018.885233,"No","Basic","Bachelor","1/18/11","Employed","M",54500,"Suburban","Married",63,28,17,0,6,"Corporate Auto","Corporate L2","Offer1","Agent",302.4,"Two-Door Car","Small",5717.522634563,13.9201708971017
"SK67821","Oregon",4932.916345,"No","Basic","Bachelor","2/13/11","Employed","F",37260,"Rural","Married",62,19,42,0,8,"Corporate Auto","Corporate L1","Offer3","Web",15.437681,"Four-Door Car","Medsize",6590.4524276416,33.6015445370703
"QG25316","Nevada",2652.061785,"No","Basic","High School or Below","1/18/11","Unemployed","F",0,"Suburban","Married",70,7,1,1,1,"Corporate Auto","Corporate L3","Offer3","Call Center",484.318536,"Two-Door Car","Medsize",3673.37582584105,38.5101903212656
"HG65722","Oregon",12819.10289,"No","Premium","Doctor","1/25/11","Disabled","F",10105,"Rural","Married",172,5,4,3,3,"Personal Auto","Personal L2","Offer1","Branch",0.517753,"SUV","Medsize",16412.8369983686,28.0342090956457
"FR46645","California",4293.997319,"No","Premium","Bachelor","1/17/11","Disabled","M",16701,"Suburban","Married",113,20,26,0,1,"Personal Auto","Personal L2","Offer1","Branch",831.625979,"Four-Door Car","Small",5456.0121940639,27.0613786814034
"AP67935","California",7619.5158,"No","Basic","College","2/13/11","Employed","M",64749,"Urban","Married",64,24,59,0,2,"Special Auto","Special L2","Offer2","Branch",302.56519,"Four-Door Car","Medsize",3840.70038551719,49.5939048316274
"WB37082","Arizona",6613.973653,"No","Basic","Bachelor","1/23/11","Unemployed","F",0,"Suburban","Single",63,21,28,0,2,"Personal Auto","Personal L3","Offer3","Branch",676.391482,"Four-Door Car","Large",3721.25957005712,43.7364016657489
"RZ33670","California",11727.77648,"No","Premium","College","01-09-11","Disabled","F",29879,"Suburban","Married",102,17,0,0,2,"Personal Auto","Personal L3","Offer3","Web",500.254235,"Four-Door Car","Medsize",5530.86909689929,52.8395761435991
"PY70169","Oregon",22643.83478,"No","Basic","High School or Below","2/24/11","Employed","M",93011,"Rural","Divorced",113,17,12,0,2,"Personal Auto","Personal L3","Offer4","Agent",281.451042,"SUV","Medsize",5829.32540102796,74.2564567456716
"MO91628","Oregon",2614.474305,"No","Basic","Master","02-11-11","Employed","M",65186,"Rural","Married",65,29,27,0,1,"Personal Auto","Personal L2","Offer2","Web",5.434505,"Two-Door Car","Large",3662.58410045477,40.088739577602
"HW87852","Oregon",2451.752695,"No","Basic","Master","02-12-11","Medical Leave","M",26840,"Suburban","Married",64,1,47,2,1,"Personal Auto","Personal L1","Offer1","Agent",307.2,"Four-Door Car","Medsize",3588.2854707499,46.3559305172867
"YX23800","Oregon",8591.604933,"No","Basic","Bachelor","02-11-11","Employed","M",38984,"Suburban","Married",73,27,38,0,2,"Personal Auto","Personal L3","Offer2","Branch",350.4,"Four-Door Car","Small",3937.0266610922,54.1758880698734
"LN31673","Washington",11318.08982,"No","Extended","College","02-06-11","Employed","M",38923,"Rural","Married",99,6,83,2,2,"Personal Auto","Personal L3","Offer1","Agent",115.728852,"Four-Door Car","Medsize",5400.92756613139,52.2805733827319
"VH85817","California",5780.182197,"Yes","Basic","High School or Below","2/26/11","Employed","M",51066,"Suburban","Single",74,23,0,0,8,"Personal Auto","Personal L3","Offer2","Call Center",787.993313,"Four-Door Car","Medsize",6129.22514994769,6.03861506526291
"DT85712","California",4118.539113,"No","Basic","Doctor","1/27/11","Employed","M",34378,"Suburban","Married",102,12,54,0,1,"Personal Auto","Personal L1","Offer3","Branch",489.6,"SUV","Medsize",5269.55266842439,27.9471318310724
"YJ88573","Nevada",2523.07015,"No","Basic","Master","1/16/11","Employed","M",43072,"Suburban","Married",63,35,15,0,1,"Personal Auto","Personal L3","Offer2","Call Center",302.4,"Four-Door Car","Large",3563.18850431766,41.2243137321277
"HF88410","Washington",7703.397294,"No","Basic","High School or Below","2/28/11","Employed","M",36765,"Suburban","Married",66,15,32,1,2,"Personal Auto","Personal L2","Offer1","Call Center",320.849072,"Four-Door Car","Medsize",4114.10092964912,46.593681039228
"JY67916","Oregon",13171.01282,"No","Premium","College","1/27/11","Medical Leave","M",21513,"Suburban","Married",119,21,81,1,2,"Personal Auto","Personal L3","Offer2","Branch",679.827592,"Two-Door Car","Small",5180.18924754001,60.6697729450695
"ON44465","California",5313.294035,"No","Extended","High School or Below","1/24/11","Unemployed","F",0,"Suburban","Single",77,8,10,1,9,"Personal Auto","Personal L2","Offer1","Agent",863.3947,"Four-Door Car","Medsize",8654.08551937754,62.8760889642265
"NZ30757","California",4801.661503,"No","Basic","Bachelor","2/16/11","Medical Leave","M",18107,"Suburban","Married",62,29,11,0,8,"Personal Auto","Personal L2","Offer1","Agent",297.6,"Four-Door Car","Medsize",6096.60912347044,26.9687402925295
"FZ30935","Oregon",6066.115969,"No","Extended","College","2/25/11","Employed","M",32627,"Suburban","Married",76,11,60,0,7,"Personal Auto","Personal L2","Offer1","Agent",380.036697,"Two-Door Car","Small",8062.39393674391,32.9086680496318
"EV68375","California",4330.38602,"Yes","Premium","College","2/16/11","Employed","M",60475,"Suburban","Married",107,9,18,0,1,"Personal Auto","Personal L3","Offer2","Branch",513.6,"Four-Door Car","Medsize",4942.88190132252,14.1441404644689
"TO96662","Oregon",6966.694527,"No","Extended","Bachelor","1/19/11","Employed","F",41837,"Rural","Married",88,29,93,0,9,"Personal Auto","Personal L3","Offer1","Call Center",142.062768,"Four-Door Car","Small",13512.236596793,93.9547735934908
"WI57118","California",6701.571657,"No","Extended","College","2/27/11","Employed","M",56398,"Suburban","Married",85,4,18,0,7,"Personal Auto","Personal L3","Offer4","Agent",408,"Four-Door Car","Small",7576.53582694691,13.056104071244
"CR48975","Washington",24084.5352,"No","Basic","High School or Below","02-02-11","Employed","M",65196,"Suburban","Married",67,0,54,0,2,"Personal Auto","Personal L2","Offer4","Branch",396.082036,"Four-Door Car","Medsize",3944.13438414916,83.623788661908
"JI70886","California",7290.069769,"No","Basic","High School or Below","2/15/11","Unemployed","M",0,"Suburban","Married",102,11,70,1,3,"Corporate Auto","Corporate L2","Offer1","Agent",489.6,"SUV","Medsize",5818.31997186669,20.1884185442466
"OX28638","Arizona",6806.491395,"No","Extended","High School or Below","1/21/11","Employed","M",37839,"Suburban","Married",86,35,77,0,9,"Personal Auto","Personal L3","Offer2","Branch",465.633954,"Two-Door Car","Medsize",9634.65846605743,41.5510269084449
"SK55033","California",2469.781334,"No","Basic","Bachelor","1/15/11","Employed","F",92711,"Suburban","Single",62,24,10,0,1,"Personal Auto","Personal L2","Offer3","Agent",368.400146,"Two-Door Car","Medsize",3881.59411407552,57.1634727593064
"XA55993","Oregon",3133.503432,"No","Extended","Master","02-07-11","Employed","F",58850,"Rural","Single",78,20,26,0,1,"Personal Auto","Personal L3","Offer2","Branch",143.747794,"Four-Door Car","Medsize",4190.42504059648,33.7297096216005
"FV21968","Nevada",5973.976904,"No","Basic","Bachelor","1/26/11","Employed","F",41611,"Rural","Married",74,14,8,0,8,"Special Auto","Special L2","Offer1","Branch",113.801497,"Four-Door Car","Medsize",7721.37955180605,29.2502411021382
"BU44523","Arizona",8026.379641,"No","Basic","High School or Below","02-07-11","Unemployed","F",0,"Suburban","Single",74,15,91,0,2,"Corporate Auto","Corporate L2","Offer1","Web",532.8,"Four-Door Car","Small",4026.65773643527,49.832204349437
"MS41162","Arizona",4022.963529,"No","Basic","High School or Below","1/26/11","Unemployed","M",0,"Suburban","Single",117,6,1,0,1,"Personal Auto","Personal L3","Offer1","Agent",975.107098,"SUV","Medsize",5313.64736985186,32.0829118024017
"DS81757","Oregon",2470.121222,"No","Basic","College","01-09-11","Unemployed","M",0,"Suburban","Single",74,7,20,0,1,"Personal Auto","Personal L1","Offer4","Web",721.242206,"Two-Door Car","Large",3476.9212000292,40.7591323479267
"OJ94107","Arizona",5619.068508,"No","Premium","Master","02-04-11","Employed","M",50335,"Urban","Married",140,9,54,0,1,"Personal Auto","Personal L2","Offer1","Call Center",456.52385,"SUV","Medsize",9011.49198895599,60.3734137807025
"YV64727","Washington",6692.143668,"No","Premium","High School or Below","2/16/11","Employed","M",63221,"Suburban","Married",168,28,49,0,1,"Corporate Auto","Corporate L3","Offer3","Agent",806.4,"SUV","Medsize",11883.2998558537,77.5709017228124
"PD27940","Arizona",4885.162511,"No","Extended","High School or Below","02-12-11","Disabled","M",26372,"Suburban","Married",126,11,7,0,1,"Personal Auto","Personal L3","Offer4","Agent",604.8,"SUV","Medsize",6371.00676166866,30.4154518365143
"NR15332","California",2581.110945,"No","Basic","High School or Below","02-06-11","Employed","M",29757,"Suburban","Married",65,13,55,0,1,"Personal Auto","Personal L2","Offer2","Web",312,"Four-Door Car","Small",3566.00339576214,38.157695339289
"RC62865","Oregon",3517.385764,"No","Extended","College","1/23/11","Employed","M",51814,"Rural","Single",92,28,89,0,1,"Personal Auto","Personal L2","Offer3","Agent",56.300724,"Four-Door Car","Medsize",4702.1256248959,33.6823976778881
"HL53154","California",7416.197322,"No","Extended","Bachelor","2/22/11","Unemployed","M",0,"Suburban","Single",77,15,12,2,2,"Personal Auto","Personal L3","Offer1","Agent",554.4,"Four-Door Car","Medsize",4259.13683578998,42.569801599597
"BE10809","California",4250.282624,"Yes","Basic","High School or Below","1/18/11","Unemployed","F",0,"Suburban","Single",61,17,1,1,7,"Personal Auto","Personal L1","Offer1","Agent",292.8,"Four-Door Car","Small",5289.70914939844,24.4554684323609
"HT87217","Oregon",19776.56654,"No","Extended","High School or Below","1/16/11","Employed","F",70699,"Urban","Divorced",82,1,57,0,2,"Personal Auto","Personal L2","Offer3","Agent",256.813837,"Four-Door Car","Medsize",4979.64336279954,74.8204858880447
"TH95618","California",21343.46599,"No","Basic","High School or Below","01-06-11","Unemployed","F",0,"Suburban","Married",74,11,85,1,2,"Personal Auto","Personal L2","Offer1","Agent",355.2,"Four-Door Car","Medsize",4063.94243010942,80.9593135809644
"IS12901","Arizona",5968.118877,"No","Basic","Bachelor","1/27/11","Employed","F",90972,"Urban","Married",74,3,47,0,8,"Personal Auto","Personal L3","Offer2","Call Center",232.926145,"Two-Door Car","Medsize",6968.41990773484,16.7607423938858
"XK33449","California",2383.731879,"No","Basic","High School or Below","02-05-11","Unemployed","F",0,"Suburban","Single",69,5,40,0,1,"Special Auto","Special L3","Offer4","Branch",496.8,"Two-Door Car","Small",3468.33304336495,45.5001325409112
"TR85083","California",2764.493659,"No","Basic","Bachelor","1/20/11","Employed","M",61085,"Suburban","Married",70,27,34,1,1,"Personal Auto","Personal L3","Offer2","Branch",336,"Two-Door Car","Medsize",3675.43158157041,32.9513478753979
"YL83902","Washington",3274.194616,"No","Extended","Bachelor","01-11-11","Employed","F",31686,"Suburban","Married",81,11,33,0,1,"Personal Auto","Personal L3","Offer1","Agent",430.994107,"Four-Door Car","Small",4775.83044117544,45.8627540903463
"ZW25874","Oregon",2521.555686,"No","Basic","Bachelor","2/16/11","Employed","M",53703,"Rural","Single",67,3,45,2,1,"Special Auto","Special L3","Offer1","Branch",67.632476,"Four-Door Car","Medsize",3764.8567343291,49.3069042746932
"EH41854","Washington",23706.11337,"No","Extended","High School or Below","02-10-11","Unemployed","F",0,"Suburban","Single",96,12,35,1,2,"Personal Auto","Personal L1","Offer3","Branch",844.481918,"Two-Door Car","Medsize",4777.09414054152,79.8486826331181
"MW70227","California",6047.02516,"Yes","Extended","College","2/19/11","Employed","M",20396,"Suburban","Married",76,15,60,1,4,"Personal Auto","Personal L1","Offer1","Branch",364.8,"Four-Door Car","Medsize",5583.55228865547,7.66447731043552
"SL22297","California",11140.30248,"No","Premium","Master","1/21/11","Disabled","F",27679,"Suburban","Single",150,30,28,0,3,"Personal Auto","Personal L1","Offer1","Call Center",722.486994,"SUV","Medsize",12896.6542638989,15.7657459216397
"RV14138","Nevada",4334.064096,"Yes","Extended","Bachelor","2/27/11","Retired","F",23904,"Suburban","Single",123,1,67,3,1,"Personal Auto","Personal L3","Offer1","Agent",590.4,"SUV","Medsize",6408.41247783501,47.8615067956533
"TS11219","California",12067.45599,"No","Basic","College","01-02-11","Unemployed","M",0,"Suburban","Single",116,14,35,0,2,"Personal Auto","Personal L2","Offer1","Agent",1284.093173,"SUV","Medsize",5758.92842501608,52.2771955432168
"KX54357","Washington",11365.26766,"No","Extended","College","1/22/11","Employed","M",84910,"Urban","Married",95,4,69,0,2,"Corporate Auto","Corporate L3","Offer2","Web",383.167471,"Two-Door Car","Small",5103.9146742132,55.0919975938939
"IT78748","Oregon",6503.397049,"Yes","Extended","High School or Below","2/19/11","Disabled","F",22081,"Suburban","Married",84,1,9,0,6,"Special Auto","Special L3","Offer1","Agent",451.670309,"Two-Door Car","Small",7594.61566789635,16.7792095527082
"KY33386","Washington",8007.399376,"Yes","Basic","High School or Below","01-02-11","Unemployed","F",0,"Suburban","Divorced",112,12,93,0,3,"Personal Auto","Personal L3","Offer1","Web",537.6,"Sports Car","Medsize",6637.80918621093,17.1040574533355
"LK60013","Oregon",5969.55297,"No","Basic","Bachelor","1/26/11","Employed","F",97431,"Suburban","Married",74,1,72,0,3,"Personal Auto","Personal L2","Offer3","Branch",355.2,"Four-Door Car","Medsize",4832.88084511336,19.0411598757727
"DE21533","California",5473.15987,"No","Basic","Bachelor","02-02-11","Employed","M",93870,"Suburban","Divorced",69,1,96,0,8,"Personal Auto","Personal L2","Offer1","Call Center",331.2,"Four-Door Car","Medsize",7196.63869787922,31.4896489197421
"TE49565","Oregon",11833.76732,"No","Basic","College","1/17/11","Disabled","F",16552,"Suburban","Married",103,23,53,0,2,"Personal Auto","Personal L3","Offer2","Call Center",494.4,"SUV","Small",5230.58082329968,55.7995295846355
"RA88421","Oregon",6121.107929,"No","Extended","College","1/17/11","Employed","F",26787,"Suburban","Married",77,7,50,0,5,"Personal Auto","Personal L3","Offer3","Branch",369.6,"Four-Door Car","Medsize",6265.89440627072,2.36536390062266
"RI24911","Arizona",7507.455372,"Yes","Basic","College","02-06-11","Employed","M",60920,"Urban","Single",64,10,61,0,2,"Personal Auto","Personal L3","Offer2","Agent",231.201886,"Two-Door Car","Medsize",3764.75852004113,49.8530682702122
"AO87348","Washington",2050.623512,"No","Basic","College","2/16/11","Unemployed","M",0,"Suburban","Single",61,18,26,0,1,"Personal Auto","Personal L3","Offer2","Agent",292.8,"Four-Door Car","Small",3249.1648763213,58.4476554232203
"DE55857","Washington",2465.444865,"No","Basic","Bachelor","1/30/11","Employed","F",64997,"Suburban","Single",63,7,99,1,1,"Personal Auto","Personal L3","Offer2","Agent",383.442328,"Four-Door Car","Small",3536.31211474612,43.4350516188129
"LF66923","Nevada",5343.121327,"No","Basic","High School or Below","02-11-11","Employed","F",64460,"Suburban","Married",66,18,42,0,3,"Corporate Auto","Corporate L3","Offer2","Agent",316.8,"Two-Door Car","Small",4246.47839090162,20.5243876937026
"CN24514","Arizona",8119.829071,"No","Basic","College","1/14/11","Employed","F",46618,"Rural","Married",67,22,77,0,2,"Personal Auto","Personal L1","Offer3","Agent",99.085943,"Four-Door Car","Large",4188.86893471312,48.4118582043349
"HO61691","Arizona",5094.522262,"No","Basic","Bachelor","2/27/11","Employed","F",72006,"Suburban","Divorced",64,4,38,0,3,"Personal Auto","Personal L1","Offer4","Agent",307.2,"Four-Door Car","Medsize",4133.06721526765,18.8723298728879
"BS13062","Arizona",25755.27817,"No","Extended","High School or Below","1/21/11","Unemployed","F",0,"Suburban","Married",81,3,60,2,2,"Personal Auto","Personal L2","Offer4","Call Center",388.8,"Four-Door Car","Small",4185.76444065382,83.7479354211385
"PK52952","Arizona",8544.411077,"No","Basic","Doctor","2/28/11","Employed","M",28224,"Suburban","Single",109,13,13,0,8,"Personal Auto","Personal L3","Offer1","Call Center",523.2,"SUV","Medsize",13987.3701242251,63.7019801385325
"OD76309","Washington",7805.31287,"Yes","Basic","College","1/27/11","Retired","F",21073,"Suburban","Divorced",106,25,54,1,3,"Personal Auto","Personal L3","Offer1","Agent",508.8,"SUV","Small",6240.38097176477,20.0495729549818
