"CustomerID1","State","CustomerLifetimeValue","Response","Coverage","Education","EffectiveToDate","EmploymentStatus","Gender","Income","LocationCode","MaritalStatus","MonthlyPremiumAuto","MonthsSinceLastClaim","MonthsSincePolicyInception","NumberofOpenComplaints","NumberofPolicies","PolicyType","Policy","RenewOfferType","SalesChannel","TotalClaimAmount","VehicleClass","VehicleSize","pred","Error"
"BU79786","Washington",2763.519279,"No","Basic","Bachelor","2/24/11","Employed","F",56274,"Suburban","Married",69,32,5,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",384.811147,"Two-Door Car","Medsize",4154.64102080964,50.3387746335182
"QZ44356","Arizona",6979.535903,"No","Extended","Bachelor","1/31/11","Unemployed","F",0,"Suburban","Single",94,13,42,0,8,"Personal Auto","Personal L3","Offer3","Agent",1131.464935,"Four-Door Car","Medsize",7751.46649371141,11.0599128858927
"AI49188","Nevada",12887.43165,"No","Premium","Bachelor","2/19/11","Employed","F",48767,"Suburban","Married",108,18,38,0,2,"Personal Auto","Personal L3","Offer1","Agent",566.472247,"Two-Door Car","Medsize",6333.43816426404,50.8556992869557
"WW63253","California",7645.861827,"No","Basic","Bachelor","1/20/11","Unemployed","M",0,"Suburban","Married",106,18,65,0,7,"Corporate Auto","Corporate L2","Offer1","Call Center",529.881344,"SUV","Medsize",10703.8389458811,39.9951920146195
"HB64268","Washington",2813.692575,"No","Basic","Bachelor","02-03-11","Employed","M",43836,"Rural","Single",73,12,44,0,1,"Personal Auto","Personal L1","Offer1","Agent",138.130879,"Four-Door Car","Medsize",4013.89907867417,42.6559217712037
"XZ87318","Oregon",5380.898636,"Yes","Basic","College","2/24/11","Employed","F",55350,"Suburban","Married",67,0,13,0,9,"Corporate Auto","Corporate L3","Offer1","Agent",321.6,"Four-Door Car","Medsize",8468.13735940871,57.3740360532729
"CF85061","Arizona",7216.100311,"No","Premium","Master","1/18/11","Unemployed","M",0,"Urban","Single",101,0,68,0,4,"Corporate Auto","Corporate L3","Offer1","Agent",363.02968,"Four-Door Car","Medsize",6126.65974243612,15.0973589835382
"DY87989","Oregon",24127.50402,"Yes","Basic","Bachelor","1/26/11","Medical Leave","M",14072,"Suburban","Divorced",71,13,3,0,2,"Corporate Auto","Corporate L3","Offer1","Agent",511.2,"Four-Door Car","Medsize",4130.26579117916,82.8815040803414
"BQ94931","Oregon",7388.178085,"No","Extended","College","2/17/11","Employed","F",28812,"Urban","Married",93,17,7,0,8,"Special Auto","Special L2","Offer2","Branch",425.527834,"Four-Door Car","Medsize",9148.95974316821,23.8324203600759
"VQ65197","California",8197.197078,"No","Basic","College","01-06-11","Unemployed","F",0,"Suburban","Married",110,27,87,0,3,"Personal Auto","Personal L3","Offer2","Agent",528,"SUV","Medsize",5821.06310442756,28.987151961365
"DP39365","California",8798.797003,"No","Premium","Master","02-06-11","Employed","M",77026,"Urban","Married",110,9,82,2,3,"Corporate Auto","Corporate L1","Offer2","Agent",472.029737,"Four-Door Car","Medsize",5898.51344163464,32.9622738242113
"SJ95423","Arizona",8819.018934,"Yes","Basic","High School or Below","01-10-11","Employed","M",99845,"Suburban","Married",110,23,25,1,8,"Corporate Auto","Corporate L3","Offer2","Branch",528,"SUV","Medsize",13353.6568810189,51.4188480709173
"IL66569","California",5384.431665,"No","Basic","College","1/18/11","Employed","M",83689,"Urban","Single",70,21,10,2,8,"Corporate Auto","Corporate L3","Offer4","Call Center",307.139132,"Four-Door Car","Medsize",5768.2188689707,7.12771983838897
